,product_id,name,rating,rating_count,num_flowers,target_price,bonus,name_length,composition_flowers_length,aroma_id,city_id,composition_flowers_id
1476,2395,Букет из 25 кустовых хризантем Сантини микс в стильной упаковке,4.5,635,25.0,7817.0,391,63,10.0,8,1,36
1204,3980,Букет из 35 розовых и белых гвоздик в стильной упаковке,4.7,382,35.0,6259.0,313,55,8.0,8,2,2
744,3287,Букет из гипсофил Первая роса,4.7,330,11.0,4767.0,239,29,9.0,1,5,8
1314,3879,Букет из 15 нарциссов в стильной упаковке,4.8,84,15.0,4463.0,224,41,7.0,6,2,22
442,5437,Букет в шляпной коробке Весна,4.8,185,25.0,4715.0,236,29,7.0,1,3,33
622,5251,Букет из 101 альстромерии микс под ленту,4.6,168,49.0,10990.0,550,40,12.0,1,5,1
1340,4573,Букет из 51 розового тюльпана стандарт под ленту,4.5,562,49.0,9416.0,471,48,7.0,1,2,33
826,3583,Букет из 7 кустовых хризантем микс в стильной упаковке,4.5,912,7.0,2830.0,142,54,10.0,8,4,36
384,5190,Букет из 19 гладиолусов микс в стильной упаковке,4.8,166,19.0,11462.0,574,48,9.0,3,3,11
814,5093,Букет из 35 розовых пионов (Premium) под ленту,4.9,165,35.0,14617.625,732,46,4.0,11,5,23
1313,3443,Гипсофила микс,4.9,563,15.0,438.0,22,14,9.0,1,2,8
276,4885,Букет цветов Твои объятия,4.7,186,1.0,2195.0,110,25,14.5,10,3,15
1247,3226,Букет из 9 маттиол микс в стильной упаковке,4.5,335,9.0,4878.0,244,43,7.0,11,2,21
828,5301,Букет из 11 белых кустовых хризантем в стильной упаковке,4.9,742,11.0,4085.0,205,56,10.0,8,4,36
1312,3478,Гипсофила белая,4.5,432,15.0,365.0,19,15,9.0,1,2,8
966,4987,Букет из 15 альстромерий микс под ленту,5.0,166,15.0,2990.0,150,39,12.0,1,4,1
996,5035,Букет из ирисов под ленту   15 шт,4.7,145,15.0,2819.0,141,33,4.0,4,4,18
89,3746,Букет из 7 белых роз premium 40-50 см (Эквадор) в стильной упаковке,4.9,707,7.0,2914.0,146,67,4.0,11,3,26
1410,2578,Букет из 49 фрезий микс в стильной упаковке,5.0,499,49.0,14617.625,732,43,6.0,10,1,35
48,5701,Букет из 15 кремовых роз 35-40 см (Россия) в упаковке,4.6,154,15.0,3103.0,156,53,4.0,2,3,26
1001,4894,Букет экспресс Добрая,4.7,345,5.0,3145.0,158,21,7.0,1,4,38
675,5555,Букет из 9 хризантем Бакарди в стильной упаковке,4.8,186,9.0,3455.0,173,48,10.0,8,5,36
1330,4460,Букет из 15 пионовидных тюльпанов в упаковке,4.6,610,15.0,4180.0,209,44,7.0,1,2,33
134,4006,Букет из 101 розы яркий микс 35-40 см (Россия) под ленту,4.9,862,49.0,9230.0,462,56,4.0,2,3,26
520,4655,Букет из 25 фиолетовых кустовых хризантем Сантини под ленту,5.0,1,25.0,5801.0,291,59,10.0,8,5,36
1465,2745,Букет из 25 красных гвоздик в стильной упаковке,4.5,594,25.0,5917.0,296,47,8.0,8,1,2
939,4952,Букет цветов Поцелуй нимфы,4.7,196,3.0,3822.0,192,26,14.5,10,4,16
1122,4449,Букет из 51 тюльпана стандарт микс в упаковке,4.8,501,49.0,5975.0,299,45,7.0,1,4,33
1285,2156,Букет из 49 матрикарий в дизайнерской упаковке,4.7,492,49.0,14480.0,724,46,7.0,1,2,29
553,2795,Букет из 51 диантуса (гвоздики) нежный микс в дизайнерской упаковке,4.7,734,49.0,7854.0,393,67,8.0,8,5,2
460,5337,Букет цветов Воплощение мечты,4.7,165,3.0,3161.0,159,29,14.0,11,3,24
1234,2591,Букет цветов Пушистые облака,5.0,642,3.0,7030.0,352,28,9.0,10,2,13
1485,49,Хризантема кустовая фиолетовая,4.6,749,5.0,487.0,25,30,10.0,8,1,36
931,34,Лилия азиатская оранжевая,4.6,584,11.0,576.0,29,25,5.0,11,4,20
487,4736,Букет из 51 розового пиона (Premium) в стильной упаковке,4.6,109,49.0,14617.625,732,56,4.0,11,3,23
783,2136,Букет цветов Твоя фантазия,4.8,579,49.0,7025.0,352,26,7.0,1,5,33
897,2773,Букет из 101 герберы мини микс в стильной упаковке,4.5,388,49.0,14617.625,732,50,7.0,7,4,5
376,561,Букет из 15 подсолнухов под ленту,4.8,559,15.0,9109.0,456,33,9.0,9,3,25
878,3983,Букет из 35 розовых гвоздик в стильной упаковке,4.7,695,35.0,5948.0,298,47,8.0,8,4,2
1420,2395,Букет из 25 кустовых хризантем Сантини микс в стильной упаковке,4.5,635,25.0,7817.0,391,63,10.0,8,1,36
159,3577,Букет из 3 белых кустовых хризантем в стильной упаковке,4.6,685,3.0,1733.0,87,55,10.0,8,3,36
797,2559,Букет цветов Восторг,5.0,714,5.0,4526.0,227,20,14.0,11,5,24
860,4615,Букет из 25 белых хризантем Сантини в коробке,4.7,105,25.0,6762.0,339,45,10.0,8,4,36
704,141,Подсолнух,4.8,421,6.0,524.0,27,9,9.0,9,5,25
385,5636,Букет цветов Нежная осень,4.6,165,3.0,6500.0,325,25,14.5,8,3,12
122,4679,Букет из 51 красной розы 35-40 см (Россия) под ленту,5.0,3,49.0,6342.0,318,52,4.0,2,3,26
808,5496,Букет цветов Нежность рассвета,4.8,198,13.0,9125.0,457,30,4.0,11,5,23
1121,5441,Букет в шляпной коробке из 51 тюльпана стандарт микс,4.9,189,49.0,5975.0,299,52,7.0,1,4,33
1082,3688,Букет из гипсофил Белый пух,4.6,437,7.0,3407.0,171,27,9.0,1,4,8
221,2795,Букет из 51 диантуса (гвоздики) нежный микс в дизайнерской упаковке,4.7,734,49.0,8642.0,433,67,8.0,8,3,2
511,3589,Букет из 19 кустовых хризантем микс в стильной упаковке,4.7,889,19.0,6699.0,335,55,10.0,8,5,36
212,3975,Букет из 15 белых гвоздик в стильной упаковке с зеленью,4.8,739,15.0,3623.0,182,55,8.0,8,3,2
733,4359,Букет из сухоцветов Прощание,4.6,742,3.0,3656.0,183,28,9.0,1,5,32
302,4988,Букет из 35 альстромерий микс под ленту,5.0,135,35.0,7581.0,380,39,12.0,1,3,1
849,4655,Букет из 25 фиолетовых кустовых хризантем Сантини под ленту,5.0,1,25.0,5801.0,291,59,10.0,8,4,36
477,5098,Букет цветов Эстетика любви,4.5,165,11.0,9482.0,475,27,4.0,11,3,23
28,5330,Букет цветов Душевное тепло     S,4.7,187,7.0,1407.0,71,33,4.0,11,3,26
50,5705,Букет из 25 кремовых роз 35-40 см (Россия) под атласную ленту,4.8,185,25.0,4074.0,204,61,4.0,2,3,26
642,3541,Альстромерия желтая,4.6,503,11.0,219.0,11,19,12.0,1,5,1
25,4643,Букет из 101 розы 35-40 см (Россия) в пастельных тонах под ленту,4.8,5,49.0,7140.0,357,64,4.0,2,3,26
166,5301,Букет из 11 белых кустовых хризантем в стильной упаковке,4.9,742,11.0,4494.0,225,56,10.0,8,3,36
1237,2592,Букет цветов Ночь нежна,4.5,669,5.0,10750.0,538,23,14.5,10,2,16
346,5609,Букет из 11 матрикарий в стильной упаковке,4.8,188,11.0,3738.0,187,42,7.0,1,3,29
525,147,Хризантема Бакарди желтая,4.7,908,7.0,366.0,19,25,10.0,8,5,36
1170,3949,Букет из 35 белых кустовых хризантем Балтика в стильной упаковке,4.9,876,35.0,14617.625,732,64,10.0,8,2,36
249,3375,Букет цветов Лунная соната,4.6,711,2.0,3843.0,193,26,14.5,7,3,9
564,5637,Букет из 3 гербер стандарт с эвкалиптом в упаковке,4.2,185,3.0,2090.0,105,50,14.5,7,5,6
75,5045,Букет из 51 розы в пастельных тонах 35-40 см (Россия) в упаковке,4.6,137,49.0,6573.0,329,64,4.0,2,3,26
407,3256,Букет из гипсофил Седьмое небо,4.6,353,7.0,4195.0,210,30,9.0,1,3,8
804,2465,Букет цветов Наслаждение,5.0,879,9.0,7256.0,363,24,14.0,11,5,24
369,4197,Букет из 11 садовых ромашек и 5 маттиол в стильной пленке,4.7,402,11.0,6867.0,344,57,14.5,4,3,31
818,4139,Корзина цветов из 39 пионов с эвкалиптом,4.9,501,39.0,14617.625,732,40,14.0,11,5,24
1246,3227,Букет из 7 маттиол микс в дизайнерской упаковке,4.9,590,7.0,4066.0,204,47,7.0,11,2,21
667,27,Лизиантус белый,4.7,543,9.0,524.0,27,15,7.0,1,5,38
484,5093,Букет из 35 розовых пионов (Premium) под ленту,4.9,165,35.0,14617.625,732,46,4.0,11,3,23
1483,147,Хризантема Бакарди желтая,4.7,908,7.0,487.0,25,25,10.0,8,1,36
636,3625,Букет из 51 альстромерии яркий микс в  упаковке,4.8,398,49.0,10206.0,511,47,12.0,1,5,1
1094,4596,Букет из 25 гипсофил в коробке,5.0,278,25.0,10437.0,522,30,9.0,1,4,8
257,5263,Букет из 9 белых ориентальных лилий в упаковке,4.9,196,9.0,11424.0,572,46,5.0,11,3,20
1022,5160,Букет цветов Солнечный рай,4.9,197,25.0,9056.0,453,26,7.0,1,4,29
1160,4139,Корзина цветов из 39 пионов с эвкалиптом,4.9,501,39.0,14617.625,732,40,14.0,11,4,24
356,4284,Букет из 9 кустовых хризантем Сантини микс в стильной упаковке,4.5,359,9.0,3077.0,154,62,10.0,8,3,36
519,4656,Букет из 25 белых кустовых хризантем Сантини под ленту,5.0,1,25.0,5801.0,291,54,10.0,8,5,36
1183,2401,Букет из 49 кустовых хризантем Сантини микс в стильной упаковке,4.9,797,49.0,12037.0,602,63,10.0,8,2,36
639,3629,Букет цветов Забвение чувств,4.5,385,21.0,5009.0,251,28,12.0,1,5,1
984,3629,Букет цветов Забвение чувств,4.5,385,21.0,5009.0,251,28,12.0,1,4,1
724,2552,Фрезия микс,5.0,338,35.0,272.0,14,11,6.0,10,5,35
18,3527,Букет из 51 красной и белой розы микс 35-40 см (Кения) под ленту,4.7,714,49.0,3610.0,181,64,4.0,11,3,26
1375,4451,Букет из 25 тюльпанов стандарт микс под ленту,4.6,841,25.0,4697.0,235,45,7.0,1,1,33
255,3426,Букет из 5 белых ориентальных лилий в упаковке,4.8,663,5.0,6463.0,324,46,5.0,11,3,20
1400,3269,Букет из гипсофил Летний рассвет,4.7,395,9.0,5854.0,293,32,9.0,1,1,8
882,2795,Букет из 51 диантуса (гвоздики) нежный микс в дизайнерской упаковке,4.7,734,49.0,7854.0,393,67,8.0,8,4,2
747,3290,Букет из гипсофилы Облако любви,4.9,501,49.0,14617.625,732,31,9.0,1,5,8
57,3465,Букет из 51 красной розы 35-40 см (Кения) в стильной упаковке,4.9,754,49.0,7025.0,352,61,4.0,2,3,26
973,3208,Букет из 15 альстромерий нежный микс в стильной упаковке,4.5,723,15.0,3712.0,186,56,12.0,1,4,1
573,1977,Букет из 9 гербер стандарт микс в стильной упаковке с зеленью,5.0,388,9.0,3518.0,176,61,7.0,7,5,5
1077,2552,Фрезия микс,5.0,338,35.0,272.0,14,11,6.0,10,4,35
589,5263,Букет из 9 белых ориентальных лилий в упаковке,4.9,196,9.0,10385.0,520,46,5.0,11,5,20
796,5101,Букет цветов Лунная магия,4.6,166,5.0,4379.0,219,25,4.0,11,5,23
1084,3259,Букет из гипсофил Звездная пыль,4.7,503,19.0,9324.0,467,31,9.0,1,4,8
815,4735,Букет из 35 пионов (Premium) микс в стильной упаковке,4.8,420,35.0,14617.625,732,53,4.0,11,5,23
213,3976,Букет из 15 розовых гвоздик в стильной упаковке с зеленью,4.8,572,15.0,3623.0,182,57,8.0,8,3,2
932,36,Лилия азиатская микс,4.6,599,9.0,576.0,29,20,5.0,11,4,20
153,2003,Букет из 25 роз 40-50 см (Эквадор) premium с зеленью,4.9,602,25.0,8694.0,435,52,14.0,11,3,28
1380,2157,Букет цветов Романтический день,5.0,451,25.0,6524.0,327,31,7.0,1,1,33
831,3593,Букет из 35 кустовых хризантем микс в стильной упаковке,4.7,664,35.0,12143.0,608,55,10.0,8,4,36
1333,4572,Букет из 25 розовых тюльпанов стандарт под ленту,4.7,671,25.0,5018.0,251,48,7.0,1,2,33
388,5188,Букет из 7 красных гладиолусов под ленту,4.8,186,7.0,4271.0,214,40,9.0,3,3,11
1062,5636,Букет цветов Нежная осень,4.6,165,3.0,5933.0,297,25,14.5,8,4,12
603,36,Лилия азиатская микс,4.6,599,9.0,576.0,29,20,5.0,11,5,20
1264,3207,Букет из 35 альстромерий нежный микс в стильной упаковке,5.0,324,35.0,7322.0,367,56,12.0,1,2,1
71,5046,Букет из 25 роз в пастельных тонах 35-40 см (Россия) в упаковке,4.5,155,25.0,4652.0,233,63,4.0,2,3,26
709,2684,Букет цветов Начало урока,5.0,742,3.0,2157.0,108,25,9.0,3,5,11
1276,2086,Букет цветов Единственная,4.8,646,15.0,8856.0,443,25,7.0,1,2,38
223,13,Гвоздика белая,4.5,640,21.0,177.0,9,14,8.0,8,3,2
216,2748,Букет из 35 диантусов (гвоздик) микс в стильной упаковке,4.8,496,35.0,6542.0,328,56,8.0,8,3,2
649,3846,Букет цветов Доверие,4.7,506,35.0,6421.0,322,20,4.0,4,5,18
562,5638,Букет из 3 гербер стандарт микс в упаковке с зеленью,4.8,165,3.0,1943.0,98,52,7.0,7,5,5
734,4358,Букет из сухоцветов Лавандовое поле,4.6,575,3.0,4300.0,215,35,9.0,1,5,32
900,1965,Букет из 7 гербер стандарт микс в стильной упаковке с зеленью,4.9,516,7.0,2777.0,139,61,7.0,7,4,5
1095,3879,Букет из 15 нарциссов в стильной упаковке,4.8,84,15.0,3653.0,183,41,7.0,6,4,22
1101,4450,Букет из 15 тюльпанов стандарт микс под ленту,4.7,586,15.0,2930.0,147,45,7.0,1,4,33
202,5279,Букет цветов Любящее сердце,4.6,167,7.0,2121.0,107,27,8.0,8,3,2
1002,1849,Букет цветов Родимая,4.9,657,9.0,5345.0,268,20,7.0,1,4,38
855,3487,Хризантема Бакарди яркий микс,4.7,742,11.0,366.0,19,29,10.0,8,4,36
772,5437,Букет в шляпной коробке Весна,4.8,185,25.0,4295.0,215,29,7.0,1,5,33
914,47,Гербера стандарт яркий микс,4.7,672,13.0,261.0,14,27,7.0,7,4,5
866,3978,Букет из 25 белых гвоздик в стильной упаковке,4.7,513,25.0,4384.0,220,45,8.0,8,4,2
809,5526,Букет из пионов микс (Сара Бернар) под ленту   15 шт,4.8,185,15.0,9854.0,493,52,4.0,11,5,23
190,2947,Букет из 75 белых кустовых хризантем Сантини в стильной упаковке,4.6,531,49.0,14617.625,732,64,10.0,8,3,36
751,4596,Букет из 25 гипсофил в коробке,5.0,278,25.0,10437.0,522,30,9.0,1,5,8
1016,3492,Лизиантус нежный микс,4.9,546,13.0,524.0,27,21,7.0,1,4,38
1069,564,Гладиолусы микс,5.0,427,13.0,371.0,19,15,9.0,3,4,11
144,3741,Букет из 35 роз яркий микс premium 40-50 см (Эквадор) в стильной упаковке,4.9,460,35.0,10584.0,530,73,4.0,11,3,26
